gene,beta_sex_M_vs_F,pval_sex_M_vs_F,qval_sex_M_vs_F
MMP23B,0.07756211113338107,0.6080439885358542,0.890752966653831
CDK11B,-0.08514291244489086,0.3798841644917399,0.7827696367707883
SLC35E2B,-0.18224431754112638,0.027867780447550807,0.3623358958779789
CDK11A,-0.05768836418462436,0.632743834843249,0.8984817933862949
SLC35E2A,-0.03947084519396956,0.7661397346399216,0.9409879603775303
NADK,-0.0869181358005531,0.06528972568197162,0.45796227298705694
GNB1,-0.07157941074165344,0.1952701656061976,0.6376115056831226
PRKCZ,-0.048652489050682264,0.5410167235477903,0.863263732480195
FAAP20,0.09000731896054123,0.2746145520898339,0.7033232983187906
SKI,-0.11731780669903372,0.18753629849224301,0.6297925443355615
AL590822.3,-0.14902284816091477,0.11303331670957757,0.5391415907816192
MORN1,-0.02413109326340454,0.677750772043409,0.9167540999224056
RER1,0.05197690002510225,0.19293480119894865,0.6342983180996733
PEX10,0.18687765118390015,0.023268313959025084,0.33906910869171364
PANK4,0.009708880277282086,0.941528844602542,0.9857677414300938
HES5,0.5263382583151085,0.0032055285146007314,0.18288092853127277
AL139246.5,0.29833266976733497,0.0073258411434983005,0.23474484691662503
TNFRSF14,0.20097148113299826,0.002660517127142857,0.16864321130685922
PRXL2B,0.4105088535410716,1.2027373238928144e-05,0.004422064227512581
PRDM16,0.23800071720233643,0.01820519910511002,0.3148941434400407
MEGF6,-0.047315700886475805,0.5061773930931286,0.8485010100026152
TPRG1L,0.04931613131677662,0.48095557363183505,0.8385705359004441
WRAP73,-0.0347331368030661,0.6049959596847385,0.8893123644110672
SMIM1,0.45778619734320875,0.029924236593044027,0.3689688011160579
LRRC47,0.04497064398016045,0.5215908427192008,0.8593909450496059
CEP104,-0.005721940500361601,0.93247139489394,0.9840069764155677
DFFB,0.09560239490338548,0.1255849910201099,0.5571168225778405
C1orf174,0.07792245197727493,0.3609701540698047,0.7704363499538861
NPHP4,-0.12320202689650868,0.11968416325338817,0.5506220315682467
KCNAB2,-0.12546271366841177,0.12757248640394359,0.5595568585411311
RPL22,0.013382723049962278,0.7041158456153211,0.9229399993304475
